일자(원본),활동 유형,설명,량,단위
2023-11-01,운송,트럭,108,ton-km
2023-12-01,운송,트럭,115,ton-km
2024-01-01,운송,트럭,38,ton-km
2024-02-01,운송,트럭,195,ton-km
2024-03-01,운송,트럭,118,ton-km
2024-04-01,운송,트럭,40,ton-km
2024-05-01,운송,트럭,118,ton-km
2024-06-01,운송,트럭,120,ton-km
2024-07-01,운송,트럭,39,ton-km
2024-08-01,운송,트럭,118,ton-km
2024-09-01,운송,트럭,98,ton-km
2024-10-01,운송,트럭,44,ton-km
2024-11-01,운송,트럭,112,ton-km
2024-12-01,운송,트럭,118,ton-km
2025-01-01,운송,트럭,41,ton-km
2025-02-01,운송,트럭,211,ton-km
2025-03-01,운송,트럭,123,ton-km
2025-04-01,운송,트럭,42,ton-km
2025-05-01,운송,트럭,123,ton-km
2025-05-01,운송,트럭,12,ton-km
2025-06-01,운송,트럭,123,ton-km
2025-07-01,운송,트럭,41,ton-km
2025-08-01,운송,트럭,123,ton-km
2025-09-01,운송,트럭,98,ton-km
2025-10-01,운송,트럭,45,ton-km
2025-11-01,운송,트럭,115,ton-km
2025-12-01,운송,트럭,120,ton-km
2026-01-01,운송,트럭,43,ton-km
2026-02-01,운송,트럭,218,ton-km
2026-03-01,운송,트럭,125,ton-km
2026-04-01,운송,트럭,44,ton-km
2026-04-28,운송,트럭,12,ton-km
2026-04-29,운송,트럭,15,ton-km
2026-04-30,운송,트럭,11,ton-km
2026-05-01,운송,트럭,13,ton-km
2026-05-02,운송,트럭,14,ton-km
2026-05-03,운송,트럭,16,ton-km
2026-05-04,운송,트럭,12,ton-km
2026-05-05,운송,트럭,13,ton-km
2026-05-06,운송,트럭,15,ton-km
2026-05-07,운송,트럭,14,ton-km
